fullName,rating,jersey,team,bDay,height,weight,salary,country
Mitchell Robinson,79,23,New York Knicks,04/01/1998,213,223,1559712,USA
Josh Okogie,73,20,Minnesota Timberwolves,09/01/1998,193,213,2530680,Nigeria
Daniel Gafford,71,12,Chicago Bulls,10/01/1998,208,234,898310,USA
Nickeil Alexander-Walker,72,0,New Orleans Pelicans,09/02/1998,196,205,2964840,Canada
Jayson Tatum,85,0,Boston Celtics,03/03/1998,203,204,7830000,USA
Malik Monk,75,1,Charlotte Hornets,02/04/1998,191,197,4028400,USA
Frank Jackson,71,15,New Orleans Pelicans,05/04/1998,191,205,1618520,USA
Rodions Kurucs,75,0,Brooklyn Nets,02/05/1998,206,215,1699236,Latvia
Tony Bradley,70,13,Utah Jazz,01/08/1998,208,248,1962360,USA
Rui Hachimura,74,8,Washington Wizards,02/08/1998,203,225,4469160,Japan
Carsen Edwards,71,4,Boston Celtics,03/12/1998,180,200,1228026,USA
Mo Bamba,77,5,Orlando Magic,05/12/1998,213,225,5697600,USA
Shai Gilgeous-Alexander,79,2,Oklahoma City Thunder,07/12/1998,196,180,3952920,Canada
Jarred Vanderbilt,70,0,Minnesota Timberwolves,04/03/1999,206,214,1416852,USA
Collin Sexton,77,2,Cleveland Cavaliers,01/04/1999,185,190,4764960,USA
Zhaire Smith,72,8,Philadelphia 76ers,06/04/1999,191,205,3058800,USA
Ignas Brazdeikis,70,17,New York Knicks,01/08/1999,198,216,898310,Canada
Dzanan Musa,71,13,Brooklyn Nets,05/08/1999,206,195,1911600,Bosnia and Herzegovina
Anfernee Simons,72,1,Portland Trail Blazers,06/08/1999,191,181,2149560,USA
Isaac Bonga,68,17,Washington Wizards,11/08/1999,203,200,1416852,Germany
Ja Morant,79,12,Memphis Grizzlies,08/10/1999,191,174,8730240,USA
Kevin Knox,76,20,New York Knicks,08/11/1999,201,215,4380120,USA
Keldon Johnson,72,3,San Antonio Spurs,10/11/1999,196,211,1950600,USA
Kevin Porter,72,4,Cleveland Cavaliers,05/04/2000,193,218,1290960,USA
Zion Williamson,81,1,New Orleans Pelicans,07/06/2000,198,284,9757440,USA
Luka Samanic,72,19,San Antonio Spurs,01/09/2000,208,209,2689920,Croatia
Nassir Little,73,9,Portland Trail Blazers,02/11/2000,196,220,2105520,USA
Darius Bazley,70,7,Oklahoma City Thunder,06/12/2000,203,200,2284800,USA
David Nwaba,73,0,Houston Rockets,01/14/1993,196,210,2581965,USA
Gorgui Dieng,76,0,Memphis Grizzlies,01/18/1990,208,230,16229213,Senegal
Gary Trent Jr,71,2,Portland Trail Blazers,01/18/1999,196,209,1416852,USA
JaVale McGee,79,7,Los Angeles Lakers,01/19/1988,213,270,4000000,USA
Tyler Herro,73,14,Miami Heat,01/20/2000,196,195,3640200,USA
Dillon Brooks,74,24,Memphis Grizzlies,01/22/1996,201,225,1618520,Canada
Keita Bates-Diop,70,0,Denver Nuggets,01/23/1996,203,235,1416852,USA
Justin James,70,10,Sacramento Kings,01/24/1997,201,190,898310,USA
Nicolo Melli,73,20,New Orleans Pelicans,01/26/1991,206,236,4102564,Italy
Montrezl Harrell,83,5,Los Angeles Clippers,01/26/1994,201,253,6000000,USA
Andre Iguodala,78,9,Miami Heat,01/28/1984,198,207,17185185,USA
Marc Gasol,82,33,Toronto Raptors,01/29/1985,211,265,25595700,Spain
Maxi Kleber,74,42,Dallas Mavericks,01/29/1992,208,211,8000000,Germany
Donte DiVincenzo,72,0,Milwaukee Bucks,01/31/1997,193,205,2905800,USA
Derrick Jones,74,5,Miami Heat,02/15/1997,198,195,1645357,USA
Coby White,76,0,Chicago Bulls,02/16/2000,193,185,5307120,USA
Kentavious Caldwell-Pope,76,1,Los Angeles Lakers,02/18/1993,196,204,8089282,USA
Nikola Jokic,90,15,Denver Nuggets,02/19/1995,213,253,27504630,Serbia
